id,title,release_year,picture
912649,Venom: The Last Dance,2024,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg
1034541,Terrifier 3,2024,/l1175hgL5DoXnqeZQCcU3eZIdhX.jpg
1184918,The Wild Robot,2024,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg
1118031,Apocalypse Z: The Beginning of the End,2024,/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg
558449,Gladiator II,2024,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg
533535,Deadpool & Wolverine,2024,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
933260,The Substance,2024,/lqoMzCcZYEFK729d6qzt349fB4o.jpg
1124641,Classified,2024,/3k8jv1kSAAc0rCfFGtWDDQL4dfK.jpg
698687,Transformers One,2024,/qbkAqmmEIZfrCO8ZQAuIuVMlWoV.jpg
845781,Red One,2024,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
945961,Alien: Romulus,2024,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg
519182,Despicable Me 4,2024,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg
1051896,Arcadian,2024,/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg
1100856,Whisper of the Witch,2024,/um3n8rQbr97uaGB2058TsktPtAy.jpg
1116490,Cash Out,2024,/xBJnIvRdL0nDHgvivr6EgBQizes.jpg
335983,Venom,2018,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg
1084736,The Count of Monte-Cristo,2024,/zw4kV7npGtaqvUxvJE9IdqdFsNc.jpg
1022789,Inside Out 2,2024,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
1142518,Freedom,2024,/b2YL2kncIqlcDcqly78AsOPJi6r.jpg
1041317,Battle for the Western Front,2022,/ooHEL3XyLYu3hus5cMnpjeH4e7A.jpg
1196470,Survive,2024,/7fR3KxswtY8OHHZuOUB9td58CRX.jpg
1029235,Azrael,2024,/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg
791042,Levels,2024,/y1xm0jMIlx9Oo2a3jWNyLGm43sJ.jpg
580489,Venom: Let There Be Carnage,2021,/1MJNcPZy46hIy2CmSqOeru0yr5C.jpg
98,Gladiator,2000,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg
889737,Joker: Folie à Deux,2024,/if8QiqCI7WAGImKcJCfzp6VTyKA.jpg
